Context,Timestamp
Reading Instructions,29:08
VSCode,30:22
File Manager,30:26
Terminal,30:29
VSCode,30:31
File Manager,30:35
VSCode,30:38
Firefox,32:24
VSCode,36:14
Firefox,36:24
VSCode,36:30
Firefox,36:58
VSCode,37:14
Firefox,37:15
VSCode,37:17
Terminal,37:27
Firefox,38:32
Terminal,39:02
Firefox,39:04
VSCode,39:06
Terminal,39:46
VSCode,40:41
Terminal,40:50
VSCode,41:11
Terminal,41:15
VSCode,41:24
Terminal,41:26
Firefox,41:37
VSCode,43:33
Terminal,43:38
VSCode,43:44
Terminal,43:57
VSCode,44:18
Terminal,44:22
VSCode,44:25
Firefox,44:26
VSCode,45:40
Terminal,47:44
VSCode,47:49
Terminal,48:48
VSCode,48:58
End,49:08
