Context,Timestamp
Reading Instructions,03:25
VSCode,04:12
Reading Instructions,04:22
VSCode,04:26
Reading Instructions,05:34
Terminal,05:44
VSCode,05:46
Terminal,05:49
Reading Instructions,06:10
VSCode,06:17
Reading Instructions,06:59
VSCode,07:10
Reading Instructions,07:32
Terminal,07:36
Reading Instructions,08:42
Firefox,09:21
Terminal,10:03
Firefox,10:18
Terminal,10:49
Firefox,10:53
Terminal,11:10
VSCode,11:35
Firefox,11:41
Terminal,12:13
VSCode,12:15
Firefox,12:33
Terminal,12:40
VSCode,12:42
Terminal,13:05
VSCode,13:27
Firefox,13:28
Reading Instructions,13:54
Terminal,13:59
VSCode,14:07
Firefox,14:26
Terminal,14:37
VSCode,14:38
Terminal,14:39
Firefox,15:13
VSCode,16:14
Terminal,16:27
VSCode,16:47
Firefox,16:48
Terminal,16:57
VSCode,16:58
Terminal,17:05
VSCode,17:18
Firefox,17:20
Terminal,17:52
VSCode,17:54
Terminal,18:03
Firefox,18:19
VSCode,19:01
Terminal,19:07
VSCode,19:28
Terminal,19:41
VSCode,20:26
Terminal,20:35
VSCode,21:25
Terminal,21:33
VSCode,22:14
Terminal,22:28
VSCode,22:49
Terminal,22:58
VSCode,23:48
Terminal,23:57
VSCode,24:09
End,24:21
